年,月,日,レース番号,場所,略レース名,芝・ダ,距離,馬場状態,天候,頭数,馬名,馬番,性別,年齢,騎手,斤量,ブリンカー,着順,着差タイム,人気,単勝オッズ,走破タイム,通過順1角,通過順2角,通過順3角,通過順4角,脚質,上がり3Fタイム,上がり3F順位,父馬名,生年月日
22,7,23,1,札幌,未勝利*,芝,1800,稍,曇,5,アンテロース,1,牡,2,武豊,54,,1,-0.1,1,1.2,1.53.5,2,2,2,2,先行,35.9,2,モーリス,20200218
22,7,23,1,札幌,未勝利*,芝,1800,稍,曇,5,エターナルジェイド,2,牡,2,丹内祐次,54,,4,0.9,4,17.2,1.54.4,1,1,1,1,逃げ,37,5,アンライバルド,20200327
22,7,23,1,札幌,未勝利*,芝,1800,稍,曇,5,トーセンウォルト,3,牡,2,横山武史,54,,2,0.1,3,11.3,1.53.6,4,2,3,4,先行,35.8,1,トーセンレーヴ,20200320
22,7,23,1,札幌,未勝利*,芝,1800,稍,曇,5,クリノグローリー,4,牡,2,菱田裕二,54,,5,1.1,5,28.4,1.54.6,4,4,5,5,後方,36.7,4,ラブリーデイ,20200503
22,7,23,1,札幌,未勝利*,芝,1800,稍,曇,5,トーセントラム,5,牡,2,横山和生,54,,3,0.2,2,4.3,1.53.7,2,4,3,2,先行,36,3,ヴァンキッシュラン,20200430
22,7,23,2,札幌,未勝利,ダ,1700,稍,曇,10,リカステ,1,牝,3,鷲頭虎太,51,,10,2.5,10,123.5,1.49.5,3,3,8,10,後方,40.4,9,ザファクター,20190225
22,7,23,2,札幌,未勝利,ダ,1700,稍,曇,10,アスリエル,2,牡,3,岩田康誠,56,B,5,1.1,6,12.5,1.48.1,5,5,5,6,中団,39.2,6,ディーマジェスティ,20190324
22,7,23,2,札幌,未勝利,ダ,1700,稍,曇,10,インペリアルライン,3,セ,3,秋山稔樹,55,B,1,0,5,7.7,1.47.0,10,10,5,4,ﾏｸﾘ,38.1,1,ドゥラメンテ,20190416
22,7,23,2,札幌,未勝利,ダ,1700,稍,曇,10,キングクー,4,牡,3,吉田隼人,56,,3,0,2,3.4,1.47.0,1,1,1,1,逃げ,38.5,3,ロードカナロア,20190514
22,7,23,2,札幌,未勝利,ダ,1700,稍,曇,10,コパノカールトン,5,牡,3,横山武史,56,,7,1.1,3,5.5,1.48.1,9,8,8,8,後方,39,4,コパノリッキー,20190330
22,7,23,2,札幌,未勝利,ダ,1700,稍,曇,10,タロマイスター,6,牡,3,大久保友,53,,6,1.1,8,25.1,1.48.1,8,8,8,8,後方,39,4,ホッコータルマエ,20190525
22,7,23,2,札幌,未勝利,ダ,1700,稍,曇,10,ララアンセストラル,7,牡,3,角田大和,54,,8,1.5,7,16.5,1.48.5,5,7,5,6,中団,39.6,8,トーセンラー,20190522
22,7,23,2,札幌,未勝利,ダ,1700,稍,曇,10,ジョーカーブラウン,8,牡,3,丹内祐次,56,,2,0,4,7.3,1.47.0,5,5,3,2,先行,38.3,2,ケープブランコ,20190219
22,7,23,2,札幌,未勝利,ダ,1700,稍,曇,10,オーラライト,9,牝,3,鮫島克駿,54,B,9,2,9,86,1.49.0,2,2,2,4,先行,40.4,9,ルーラーシップ,20190503
22,7,23,2,札幌,未勝利,ダ,1700,稍,曇,10,ベッサスタージル,10,牡,3,横山和生,56,B,4,0.9,1,3.1,1.47.9,3,3,3,2,先行,39.2,6,ベーカバド,20190519
22,7,23,3,札幌,未勝利・牝,芝,1500,稍,曇,14,ポリッシュキッス,1,牝,3,菱田裕二,54,B,2,0.7,5,15.4,1.30.1,0,5,4,5,差し,36.2,3,ハービンジャー,20190210
22,7,23,3,札幌,未勝利・牝,芝,1500,稍,曇,14,バンブリッジ,2,牝,3,池添謙一,54,,11,1.7,3,6,1.31.1,0,9,7,7,中団,37.1,9,モーリス,20190321
22,7,23,3,札幌,未勝利・牝,芝,1500,稍,曇,14,ヴォンソレイユ,3,牝,3,鷲頭虎太,51,,14,4.2,13,295.3,1.33.6,0,5,9,13,後方,39.5,14,ロードカナロア,20190424
22,7,23,3,札幌,未勝利・牝,芝,1500,稍,曇,14,パンドーロ,4,牝,3,泉谷楓真,53,,3,0.9,11,173.9,1.30.3,0,5,4,5,差し,36.4,5,エイシンヒカリ,20190419
22,7,23,3,札幌,未勝利・牝,芝,1500,稍,曇,14,モルレー,5,牝,3,鮫島克駿,54,,12,1.9,7,21.8,1.31.3,0,3,4,3,先行,37.5,11,ブラックタイド,20190223
22,7,23,3,札幌,未勝利・牝,芝,1500,稍,曇,14,ミュステーリオン,6,牝,3,丹内祐次,54,,6,1.4,6,20.5,1.30.8,0,2,2,2,先行,37.3,10,スクリーンヒーロー,20190128
