年,月,日,レース番号,場所,略レース名,芝・ダ,距離,馬場状態,天候,頭数,馬名,馬番,性別,年齢,騎手,斤量,ブリンカー,確定着順,着差タイム,人気,単勝オッズ,走破タイム,通過順1角,通過順2角,通過順3角,通過順4角,脚質,上がり3Fタイム,上がり3F順位,馬体重,馬体重増減,調教師,所属,父馬名,母馬名,母の父馬名,毛色,生年月日
22,7,23,1,札幌,未勝利*,芝,1800,稍,曇,5,アンテロース,1,牡,2,武豊,54,,1,-0.1,1,1.2,1.53.5,2,2,2,2,先行,35.9,2,436,0,岡田稲男,栗,モーリス,シャブリ,ディープインパクト,鹿毛,20200218
22,7,23,1,札幌,未勝利*,芝,1800,稍,曇,5,エターナルジェイド,2,牡,2,丹内祐次,54,,4,0.9,4,17.2,1.54.4,1,1,1,1,逃げ,37,5,432,-2,宗像義忠,美,アンライバルド,エターナルムーン,マイネルラヴ,鹿毛,20200327
22,7,23,1,札幌,未勝利*,芝,1800,稍,曇,5,トーセンウォルト,3,牡,2,横山武史,54,,2,0.1,3,11.3,1.53.6,4,2,3,4,先行,35.8,1,450,-6,小桧山悟,美,トーセンレーヴ,ペンネドゥピー,Tiger Hill,鹿毛,20200320
22,7,23,1,札幌,未勝利*,芝,1800,稍,曇,5,クリノグローリー,4,牡,2,菱田裕二,54,,5,1.1,5,28.4,1.54.6,4,4,5,5,後方,36.7,4,460,6,谷潔,栗,ラブリーデイ,モエレエターナル,ゴールドヘイロー,栗毛,20200503
22,7,23,1,札幌,未勝利*,芝,1800,稍,曇,5,トーセントラム,5,牡,2,横山和生,54,,3,0.2,2,4.3,1.53.7,2,4,3,2,先行,36,3,412,-6,小桧山悟,美,ヴァンキッシュラン,ローザデルドバイ,Dubai Destination,鹿毛,20200430
22,7,23,2,札幌,未勝利,ダ,1700,稍,曇,10,リカステ,1,牝,3,鷲頭虎太,51,,10,2.5,10,123.5,1.49.5,3,3,8,10,後方,40.4,9,438,-6,武英智,栗,ザファクター,デンファレ,フジキセキ,芦毛,20190225
22,7,23,2,札幌,未勝利,ダ,1700,稍,曇,10,アスリエル,2,牡,3,岩田康誠,56,B,5,1.1,6,12.5,1.48.1,5,5,5,6,中団,39.2,6,464,10,奥村武,美,ディーマジェスティ,スイートライラ,アフリート,栗毛,20190324
22,7,23,2,札幌,未勝利,ダ,1700,稍,曇,10,インペリアルライン,3,セ,3,秋山稔樹,55,B,1,0,5,7.7,1.47.0,10,10,5,4,ﾏｸﾘ,38.1,1,452,-2,中舘英二,美,ドゥラメンテ,ルーヴインペリアル,Giant's Causeway,栗毛,20190416
22,7,23,2,札幌,未勝利,ダ,1700,稍,曇,10,キングクー,4,牡,3,吉田隼人,56,,3,0,2,3.4,1.47.0,1,1,1,1,逃げ,38.5,3,494,0,武幸四郎,栗,ロードカナロア,シュガーハート,サクラバクシンオー,鹿毛,20190514
22,7,23,2,札幌,未勝利,ダ,1700,稍,曇,10,コパノカールトン,5,牡,3,横山武史,56,,7,1.1,3,5.5,1.48.1,9,8,8,8,後方,39,4,538,2,手塚貴久,美,コパノリッキー,スパイオブラヴ,フレンチデピュティ,栗毛,20190330
22,7,23,2,札幌,未勝利,ダ,1700,稍,曇,10,タロマイスター,6,牡,3,大久保友,53,,6,1.1,8,25.1,1.48.1,8,8,8,8,後方,39,4,480,0,杉山佳明,栗,ホッコータルマエ,クニコチャン,ゴールドアリュール,鹿毛,20190525
22,7,23,2,札幌,未勝利,ダ,1700,稍,曇,10,ララアンセストラル,7,牡,3,角田大和,54,,8,1.5,7,16.5,1.48.5,5,7,5,6,中団,39.6,8,458,-12,松下武士,栗,トーセンラー,ジュエルボックス2,Pivotal,栗毛,20190522
