年,月,日,レース番号,場所,略レース名,トラック,距離,馬場状態,天候,頭数,馬名,馬番,性別,年齢,騎手,斤量,ブリンカー,確定着順,着差タイム,人気,単勝オッズ,走破タイム,通過順1角,通過順2角,通過順3角,通過順4角,脚質,上がり3Fタイム,上がり3F順位,父馬名,生年月日
24,7,20,1,札幌,未勝利*,芝,1200,良,晴,5,ルージュアマリア,1,牝,2,永野猛蔵,55,,4,1.2,2,5.9,1.10.0,0,0,5,5,追込,34.4,4,ナダル,20220131
24,7,20,1,札幌,未勝利*,芝,1200,良,晴,5,ニシノクードクール,2,牝,2,武藤雅,55,,2,0.3,4,10.2,1.09.1,0,0,2,2,先行,34.1,3,ホークビル,20220305
24,7,20,1,札幌,未勝利*,芝,1200,良,晴,5,ロードヴェルト,3,牡,2,横山武史,55,,3,0.6,3,7.9,1.09.4,0,0,3,3,先行,34,2,ロードカナロア,20220305
24,7,20,1,札幌,未勝利*,芝,1200,良,晴,5,ロードヴァルカン,4,牡,2,角田大河,54,,5,1.3,5,21.3,1.10.1,0,0,3,3,先行,34.7,5,ロードカナロア,20220223
24,7,20,1,札幌,未勝利*,芝,1200,良,晴,5,ポッドベイダー,5,牡,2,佐々木大,55,,1,-0.3,1,1.2,1.08.8,0,0,1,1,逃げ,33.9,1,リオンディーズ,20220330
24,7,20,2,札幌,未勝利,ダ,1000,良,晴,12,ロマンスヒコー,1,牡,3,大野拓弥,57,B,11,1.9,12,172.5,1.01.4,0,0,9,9,後方,36.3,9,タリスマニック,20210201
24,7,20,2,札幌,未勝利,ダ,1000,良,晴,12,タミゼ,2,牝,3,北村友一,55,,1,-0.5,2,3.9,0.59.5,0,0,3,3,先行,35.5,3,リオンディーズ,20210316
24,7,20,2,札幌,未勝利,ダ,1000,良,晴,12,コパマエチャン,3,牝,3,長浜鴻緒,52,,6,0.7,8,16,1.00.2,0,0,1,1,逃げ,36.4,10,コパノリッキー,20210209
24,7,20,2,札幌,未勝利,ダ,1000,良,晴,12,スリーボビー,4,牡,3,永野猛蔵,57,B,7,0.7,7,14.1,1.00.2,0,0,9,9,後方,35.1,1,シャンハイボビー,20210111
24,7,20,2,札幌,未勝利,ダ,1000,良,晴,12,タイセイフォルテ,5,牡,3,横山武史,57,B,12,2.3,3,5.7,1.01.8,0,0,11,11,後方,36.5,11,マジェスティックウォリアー,20210315
24,7,20,2,札幌,未勝利,ダ,1000,良,晴,12,タマモアルタイル,6,牡,3,武豊,57,,2,0.5,6,9.4,1.00.0,0,0,5,3,先行,35.9,6,エスポワールシチー,20210526
24,7,20,2,札幌,未勝利,ダ,1000,良,晴,12,スキーサンダー,7,牝,3,小林勝太,52,,4,0.6,1,3.9,1.00.1,0,0,2,2,先行,36.2,8,サンダースノー,20210402
24,7,20,2,札幌,未勝利,ダ,1000,良,晴,12,ウィスピースノー,8,牝,3,角田大河,54,B,3,0.6,9,44.4,1.00.1,0,0,8,8,差し,35.3,2,ワールドエース,20210219
24,7,20,2,札幌,未勝利,ダ,1000,良,晴,12,ブートストラップ,9,セ,3,川端海翼,54,,9,1.6,11,167,1.01.1,0,0,12,12,後方,35.6,4,ダノンレジェンド,20210424
